"","eruptionID","geyser","eruption_time_epoch","has_seconds","exact","ns","ie","E","A","wc","ini","maj","min","q","duration","entrant","observer","eruption_comment","time_updated","time_entered","associated_primaryID","other_comments","Old_Faithful_Preplay_Time_VEC","Old_Faithful_Height_VEC"
"87","23681","Old Faithful","11387400",0,"1","0","0",0,0,0,0,0,1,0,"2m","BoekelUpload","OFVCL-EV","",1335329507,1335329507,23681,"NULL","NULL","NULL"
"88","23682","Old Faithful","11394900",0,"1","0","0",0,0,0,0,0,1,0,"2m","BoekelUpload","OFVCL-EV","",1335329507,1335329507,23682,"NULL","NULL","NULL"
"89","23683","Old Faithful","11397480",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335329507,1335329507,23683,"NULL","NULL","NULL"
"90","23684","Old Faithful","11457660",0,"1","0","0",0,0,0,0,0,1,0,"2m","BoekelUpload","OFVCL-EV","",1335329561,1335329561,23684,"NULL","NULL","NULL"
"91","23685","Old Faithful","11460420",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335329561,1335329561,23685,"NULL","NULL","NULL"
"92","23686","Old Faithful","11464800",0,"1","0","0",0,0,0,0,0,1,0,"2m","BoekelUpload","OFVCL-EV","",1335329561,1335329561,23686,"NULL","NULL","NULL"
"93","23687","Old Faithful","11467440",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335329561,1335329561,23687,"NULL","NULL","NULL"
"94","23688","Old Faithful","11475000",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335329561,1335329561,23688,"NULL","NULL","NULL"
"95","23689","Old Faithful","11479560",0,"1","0","0",0,0,0,0,0,1,0,"1.75m","BoekelUpload","OFVCL-EV","",1335329561,1335329561,23689,"NULL","NULL","NULL"
"96","23690","Old Faithful","11482320",0,"1","0","0",0,0,0,0,1,0,0,"4.25m","BoekelUpload","OFVCL-EV","",1335329562,1335329562,23690,"NULL","NULL","NULL"
"97","23691","Old Faithful","11486640",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335329562,1335329562,23691,"NULL","NULL","NULL"
"98","23693","Old Faithful","11542080",0,"1","0","0",0,0,0,0,1,0,0,"4.25m","BoekelUpload","OFVCL-EV","",1335329907,1335329907,23693,"NULL","NULL","NULL"
"99","23694","Old Faithful","11546640",0,"1","0","0",0,0,0,0,0,1,0,"2.25m","BoekelUpload","OFVCL-EV","",1335329907,1335329907,23694,"NULL","NULL","NULL"
"100","23695","Old Faithful","11550240",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335329907,1335329907,23695,"NULL","NULL","NULL"
"101","23696","Old Faithful","11554620",0,"1","0","0",0,0,0,0,0,1,0,"2m","BoekelUpload","OFVCL-EV","",1335329907,1335329907,23696,"NULL","NULL","NULL"
"102","23697","Old Faithful","11557620",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335329907,1335329907,23697,"NULL","NULL","NULL"
"103","23698","Old Faithful","11562120",0,"1","0","0",0,0,0,0,0,1,0,"1.75m","BoekelUpload","OFVCL-EV","",1335329907,1335329907,23698,"NULL","NULL","NULL"
"104","23699","Old Faithful","11565180",0,"1","0","0",0,0,0,0,1,0,0,"4.5m","BoekelUpload","OFVCL-EV","",1335329907,1335329907,23699,"NULL","NULL","NULL"
"105","23700","Old Faithful","11569440",0,"1","0","0",0,0,0,0,1,0,0,"3.5m","BoekelUpload","OFVCL-EV","",1335329907,1335329907,23700,"NULL","NULL","NULL"
"106","23701","Old Faithful","11574000",0,"1","0","0",0,0,0,0,0,1,0,"2m","BoekelUpload","OFVCL-EV","",1335329907,1335329907,23701,"NULL","NULL","NULL"
"107","23705","Old Faithful","11628360",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335329970,1335329970,23705,"NULL","NULL","NULL"
"108","23706","Old Faithful","11632920",0,"1","0","0",0,0,0,0,0,1,0,"2.25m","BoekelUpload","OFVCL-EV","",1335329970,1335329970,23706,"NULL","NULL","NULL"
"109","23707","Old Faithful","11635860",0,"1","0","0",0,0,0,0,1,0,0,"4.25m","BoekelUpload","OFVCL-EV","",1335329970,1335329970,23707,"NULL","NULL","NULL"
"110","23708","Old Faithful","11640420",0,"1","0","0",0,0,0,0,0,1,0,"2.75m","BoekelUpload","OFVCL-EV","",1335329970,1335329970,23708,"NULL","NULL","NULL"
"111","23709","Old Faithful","11643900",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335329970,1335329970,23709,"NULL","NULL","NULL"
"112","23710","Old Faithful","11648520",0,"1","0","0",0,0,0,0,0,1,0,"2.25m","BoekelUpload","OFVCL-EV","",1335329971,1335329971,23710,"NULL","NULL","NULL"
"113","23711","Old Faithful","11651580",0,"1","0","0",0,0,0,0,1,0,0,"4.25m","BoekelUpload","OFVCL-EV","",1335329971,1335329971,23711,"NULL","NULL","NULL"
"114","23712","Old Faithful","11655960",0,"1","0","0",0,0,0,0,0,1,0,"2m","BoekelUpload","OFVCL-EV","",1335329971,1335329971,23712,"NULL","NULL","NULL"
"115","23713","Old Faithful","11659140",0,"1","0","0",0,0,0,0,1,0,0,"4.25m","BoekelUpload","OFVCL-EV","",1335329971,1335329971,23713,"NULL","NULL","NULL"
"116","23714","Old Faithful","11717280",0,"1","0","0",0,0,0,0,0,1,0,"2.25m","BoekelUpload","OFVCL-EV","",1335330027,1335330027,23714,"NULL","NULL","NULL"
"117","23715","Old Faithful","11720700",0,"1","0","0",0,0,0,0,1,0,0,"4.25m","BoekelUpload","OFVCL-EV","",1335330027,1335330027,23715,"NULL","NULL","NULL"
"118","23716","Old Faithful","11725200",0,"1","0","0",0,0,0,0,0,1,0,"1.75m","BoekelUpload","OFVCL-EV","",1335330027,1335330027,23716,"NULL","NULL","NULL"
"119","23717","Old Faithful","11727720",0,"1","0","0",0,0,0,0,1,0,0,"4.25m","BoekelUpload","OFVCL-EV","",1335330027,1335330027,23717,"NULL","NULL","NULL"
"120","23718","Old Faithful","11732520",0,"1","0","0",0,0,0,0,0,1,0,"2m","BoekelUpload","OFVCL-EV","",1335330027,1335330027,23718,"NULL","NULL","NULL"
